Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,11.3,18.6,60.6,214.5,60.2,0,1.25,0,8.93,13.2,67.6,2.32,4.11,56.5,0,0.05,-0.05,1.43,1.07,0.54,0,2.32,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,47.1,53.6,87.7,975.8,194.3,0.77,1.36,56.8,32.7,36.4,89.9,13.5,15.9,85.4,0.03,0.05,-0.02,0.93,4.63,1.02,0.28,4.85,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,70.1,76.9,91.1,1645.1,418.6,0.29,0.53,55.6,43.1,45.8,94.2,26.7,30.6,87.1,0,0.01,-0.01,0.24,3.35,0.18,0.06,3.94,Matches
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,30.5,35.8,85.3,528.9,108.4,1.05,1.58,66.7,24.2,27.9,86.8,5.26,6.32,83.3,0,0,0,0,0,0.53,0.53,0.53,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,43.7,56.3,77.6,725.6,211,1.27,3.8,33.3,35.9,43.4,82.8,6.51,9.1,71.5,0.24,0.17,0.07,1.57,2.89,1.99,0.36,5.66,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,16.6,26.7,62.3,225.5,47.8,0.81,1.91,42.1,14.6,22.2,65.7,1.24,2.58,48.1,0.03,0.05,-0.02,0.67,1.54,0.44,0.13,1.74,Matches
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,10,15,66.7,96.3,25,0,1.25,0,10,13.8,72.7,0,0,,0,0,0,1.25,0,0,0,1.25,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,43,54.3,79.2,758.7,183.1,1.23,2.98,41.2,33.2,39.5,83.9,8.64,11.8,73,0.04,0.05,0,0.57,4.3,0.35,0.18,3.86,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,21.7,27.6,78.5,716.4,444.7,0,0,,8.98,8.98,100,12.7,18.6,68.2,0,0,0,0,0,0,0,0,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,30,42.1,71.2,545.8,190.1,0.98,2.17,45.2,22.8,29.1,78.3,6.19,10.8,57.3,0.07,0.07,0,1.08,3.39,1.12,0.21,5.17,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,48.1,54.6,88.1,897.9,200,0.96,1.58,61.1,36.9,40.2,91.9,10.2,12.8,79.5,0,0,0,0.26,3.77,0.18,0,3.86,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,16.9,22.8,74.1,243.4,42,1.02,1.48,69.2,14,18.5,75.5,1.93,2.84,68,0,0.07,-0.07,0.91,1.02,0.34,0,1.59,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,27.9,35.2,79.3,857.9,511.8,0.08,0.08,100,14.5,14.7,99,13.3,20.5,65,0,0,0,0,0.15,0,0,0,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,37.5,56,67,824.4,385.9,0.73,2.02,35.8,25.6,30.7,83.6,11.1,23.2,47.8,0.04,0.09,-0.05,1.03,4.01,1.53,0.92,9.69,Matches
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,47,62.1,75.6,856.7,327.6,0.57,2.38,24.1,36.7,42.3,86.8,9.67,17.5,55.4,0.16,0.19,-0.02,1.64,4.1,1.89,0.82,8.03,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,71.3,90.6,78.6,1288.7,363,0.85,2.98,28.6,56.6,64.7,87.5,13.8,23,60.2,0,0.26,-0.26,1.91,7.02,2.98,1.49,10,Matches
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,35,35,100,605,70,0,0,,30,30,100,5,5,100,0,0,0,0,5,0,0,0,Matches
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,42.5,51.4,82.5,688.8,253.9,0.59,1.78,33.3,35.9,39.8,90.2,5.93,9.83,60.3,0.08,0.06,0.03,0.68,1.53,1.02,0.51,5.17,Matches
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,29.7,42.1,70.5,649.7,251,0.41,1.99,20.5,20.8,24,86.4,8.52,16.1,53,0.2,0.15,0.05,1.63,2.4,2.4,1.79,6.53,Matches
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,50,90,55.6,960,110,0,0,,40,60,66.7,10,30,33.3,0,0,0,0,10,0,0,10,Matches
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,16.6,25.9,64.1,261.6,66.2,0.77,2.81,27.3,13.4,18.1,74,2.45,5,49,0.15,0.14,0.01,1.07,1.07,0.71,0.41,2.3,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,28.2,39.7,70.9,498.8,215.5,0.53,1.23,42.9,23.2,28.2,82.3,4.39,10.3,42.7,0,0.14,-0.14,0.88,2.19,0.79,0.35,5.35,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,18.9,24.4,77.3,234.4,25.6,0,0,,18.9,23.3,81,0,1.11,0,0,0,0,0,2.22,0,0,0,Matches
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,10,0,0,0,0,0,,0,0,,0,10,0,0,0,0,0,0,0,0,0,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,22,30.9,71.3,382.2,124.1,0.51,1.9,26.9,17.6,22.2,79.1,3.91,6.75,57.8,0.07,0.11,-0.04,1.53,1.06,1.09,0.29,3.94,Matches
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,41,48.1,85.1,726.2,121,0.95,1.43,66.7,31.9,36.7,87,8.1,10,81,0,0,0,0,2.86,0.48,0,1.9,Matches
