Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1212,Willian José,br BRA,FW,Real Sociedad,es La Liga,27,1991,22.3,2.02,2.01,1.52,0,0.13,0.22,0.13,0.18,0.18,0.09,0,0.04,0.04,0,0,Matches
1213,Joselu,es ESP,FW,Alavés,es La Liga,29,1990,30.9,1.88,1.88,1.2,0,0.06,0.29,0.32,0.42,0.42,0.23,0,0,0.16,0.03,0,Matches
1214,Jota,es ESP,"FW,MF",Aston Villa,eng Premier League,28,1991,3.7,2.16,2.15,1.89,0,0,0,0.27,0.27,0.27,0.27,0,0,0,0,0,Matches
1215,Diogo Jota,pt POR,"FW,MF",Wolves,eng Premier League,22,1996,25.4,3.5,3.51,2.01,0.04,0.63,0.31,0.51,0.24,0.24,0.16,0,0,0.04,0.04,0,Matches
1216,Vukašin Jovanovi?,rs SRB,DF,Bordeaux,fr Ligue 1,23,1996,6.4,0.94,0.94,0.94,0,0,0,0,0.16,0.16,0.16,0,0,0,0,0,Matches
1217,Dejan Jovelji?,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1999,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1218,Stevan Joveti?,me MNE,"FW,MF",Monaco,fr Ligue 1,29,1989,5.3,3.21,3.23,1.89,0,0.75,0.19,0.38,0.19,0.19,0.19,0,0,0,0,0,Matches
1219,Luka Jovi?,rs SRB,FW,Real Madrid,es La Liga,21,1997,4.8,1.46,1.47,1.04,0,0,0.42,0,0.42,0.42,0.42,0,0,0,0,0,Matches
1220,Juanmi,es ESP,"FW,MF",Betis,es La Liga,26,1993,2.9,0.69,0.68,0.69,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1221,David Juncà,es ESP,DF,Celta Vigo,es La Liga,25,1993,2.9,1.03,1.05,1.03,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1222,Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,it Serie A,19,2000,17.4,3.62,3.61,2.36,0.69,0.17,0.23,0.17,0.34,0.34,0.34,0,0,0,0,0,Matches
1223,Lago Junior,ci CIV,"MF,FW",Mallorca,es La Liga,28,1990,24.3,1.81,1.81,1.44,0,0.21,0.12,0.04,0.08,0.08,0.08,0,0,0,0,0,Matches
1224,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,19,2000,15.2,3.68,3.7,2.5,0,0.72,0.33,0.13,0.39,0.4,0.26,0,0.07,0,0.07,0,Matches
1225,James Justin,eng ENG,DF,Leicester City,eng Premier League,21,1998,11.2,2.05,2.05,1.79,0,0,0,0.27,0.18,0.18,0.18,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1226,Musa Juwara,gm GAM,"FW,MF",Bologna,it Serie A,17,2001,1.7,5.29,5.29,4.71,0,0.59,0,0,0,0,0,0,0,0,0,0,Matches
1227,Mathias Jørgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,1990,5.5,0.36,0.36,0.36,0,0,0,0,0.18,0.18,0.18,0,0,0,0,0,Matches
1228,Ozan Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,19.7,0.41,0.41,0.25,0,0,0.15,0,0.1,0.1,0.05,0,0,0.05,0,0,Matches
1229,Christian Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,25,0.28,0.28,0.24,0,0,0,0.04,0.08,0.08,0.08,0,0,0,0,0,Matches
1230,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,25,1994,16.3,4.36,4.35,2.58,0.55,0.37,0.18,0.67,0.37,0.37,0.12,0.06,0.06,0.06,0.06,0,Matches
1231,Pavel Kade?ábek,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,27,1992,27.5,2.25,2.26,2.04,0.04,0.04,0,0.15,0.29,0.29,0.25,0,0.04,0,0,0,Matches
1232,Florian Kainz,at AUT,"FW,MF",Köln,de Bundesliga,26,1992,17.3,4.16,4.15,2.43,1.39,0.17,0.12,0,0.4,0.4,0.23,0.12,0,0,0,0.06,Matches
1233,Gaël Kakuta,cd COD,"MF,FW",Amiens,fr Ligue 1,28,1991,22.2,2.48,2.47,1.85,0.23,0.27,0.05,0.09,0.36,0.36,0.32,0,0.05,0,0,0,Matches
1234,Lovre Kalini?,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,0.29,0.3,0,0.29,0,0,0,0,0,0,0,0,0,0,0,Matches
1235,Nikola Kalini?,hr CRO,FW,Roma,it Serie A,31,1988,6.3,2.06,2.05,1.75,0,0,0.32,0,0.16,0.16,0.16,0,0,0,0,0,Matches
1236,Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,de Bundesliga,33,1985,1.6,0.63,0.62,0.63,0,0,0,0,0.63,0.62,0.63,0,0,0,0,0,Matches
1237,Samuel Kalu,ng NGA,"FW,DF",Bordeaux,fr Ligue 1,21,1997,15.1,2.19,2.19,1.19,0.07,0.4,0.26,0.26,0.26,0.27,0.13,0,0,0.07,0.07,0,Matches
1238,Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,de Bundesliga,22,1996,21.9,3.97,3.98,2.42,0.78,0.55,0.14,0.05,0.5,0.5,0.27,0.09,0.05,0.05,0,0.05,Matches
1239,François Kamano,gn GUI,"DF,MF",Bordeaux,fr Ligue 1,23,1996,7.2,2.22,2.22,1.39,0,0.14,0,0.69,0.42,0.42,0.28,0,0,0,0.14,0,Matches
1240,Boubacar Kamara,fr FRA,"DF,MF",Marseille,fr Ligue 1,19,1999,23.8,0.88,0.88,0.67,0,0,0.13,0.08,0.21,0.21,0.21,0,0,0,0,0,Matches
1241,Hassane Kamara,gm GAM,"DF,FW",Reims,fr Ligue 1,24,1994,19,1.32,1.32,1.32,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
1242,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,7.5,2.4,2.4,2.27,0.13,0,0,0,0.27,0.27,0.27,0,0,0,0,0,Matches
1243,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,28.7,1.85,1.84,1.29,0,0.24,0.14,0.17,0.21,0.21,0.1,0,0,0.07,0.03,0,Matches
1244,Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,0.8,2.5,2.65,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1245,Lee Kangin,kr KOR,"MF,FW",Valencia,es La Liga,18,2001,5,2.6,2.58,2.4,0.2,0,0,0,0.4,0.4,0.4,0,0,0,0,0,Matches
1246,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,28,1991,19.2,2.66,2.65,2.45,0,0,0.05,0.16,0.05,0.05,0.05,0,0,0,0,0,Matches
1247,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1248,Wilfrid Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,2.2,0.91,0.93,0.91,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1249,Kenan Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,15,2.73,2.73,1.93,0,0.47,0.2,0.13,0.07,0.07,0.07,0,0,0,0,0,Matches
1250,Yann Karamoh,fr FRA,"FW,MF",Parma,it Serie A,21,1998,6.4,3.91,3.93,2.97,0,0.63,0.16,0.16,0.31,0.31,0.16,0,0.16,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1251,Mamoudou Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20,1999,0.1,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1252,Florian Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,23,1996,17,0.24,0.24,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,Matches
1253,Noah Katterbach,de GER,DF,Köln,de Bundesliga,18,2001,14.6,1.44,1.44,1.03,0.14,0.21,0,0.07,0.07,0.07,0,0,0,0,0.07,0,Matches
1254,Moise Kean,it ITA,FW,Everton,eng Premier League,19,2000,9.5,2.84,2.85,1.47,0,0.84,0.32,0.21,0.11,0.11,0,0,0,0.11,0,0,Matches
1255,Michael Keane,eng ENG,DF,Everton,eng Premier League,26,1993,28.4,0.35,0.35,0.35,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
1256,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,1996,5.3,1.13,1.13,1.13,0,0,0,0,0.19,0.19,0.19,0,0,0,0,0,Matches
1257,Jules Keita,gn GUI,"MF,FW",Dijon,fr Ligue 1,21,1998,1.8,1.67,1.71,0.56,0,1.11,0,0,0,0,0,0,0,0,0,0,Matches
1258,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,24,1995,9.1,3.52,3.53,3.08,0.11,0.22,0.11,0,0.55,0.55,0.55,0,0,0,0,0,Matches
1259,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,19,2000,1.9,1.05,1.03,1.05,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1260,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,1998,7.1,0.7,0.7,0.56,0.14,0,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
1261,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,1990,17.2,0.52,0.52,0.52,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,Matches
1262,Kenedy,br BRA,"MF,DF",Getafe,es La Liga,23,1996,6.5,2.77,2.76,1.85,0.31,0.31,0.31,0,0.46,0.46,0.46,0,0,0,0,0,Matches
1263,Jonjoe Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22,1997,30.2,1.06,1.06,0.96,0.07,0.03,0,0,0.13,0.13,0.13,0,0,0,0,0,Matches
1264,Franck Kessié,ci CIV,MF,Milan,it Serie A,22,1996,32.3,2.2,2.2,1.92,0,0.19,0.09,0,0.12,0.12,0.06,0,0.03,0.03,0,0,Matches
1265,Saîf-Eddine Khaoui,tn TUN,"MF,FW",Marseille,fr Ligue 1,24,1995,1.2,2.5,2.55,1.67,0.83,0,0,0,0,0,0,0,0,0,0,0,Matches
1266,Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,fr Ligue 1,28,1991,12.8,2.73,2.74,1.48,0.47,0.39,0.23,0.16,0.39,0.39,0.23,0.16,0,0,0,0,Matches
1267,Rani Khedira,de GER,MF,Augsburg,de Bundesliga,25,1994,29.4,0.78,0.78,0.65,0,0.03,0.03,0.07,0.1,0.1,0.07,0,0,0,0.03,0,Matches
1268,Sami Khedira,de GER,MF,Juventus,it Serie A,32,1987,7.6,2.37,2.38,1.97,0,0.13,0.26,0,0.26,0.26,0.26,0,0,0,0,0,Matches
1269,Kike,es ESP,FW,Eibar,es La Liga,29,1989,19.6,1.63,1.63,0.97,0,0,0.31,0.36,0.15,0.15,0.05,0,0,0.05,0.05,0,Matches
1270,Luca Kilian,de GER,DF,Paderborn 07,de Bundesliga,19,1999,14,0.36,0.36,0.36,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
1271,Max Kilman,eng ENG,DF,Wolves,eng Premier League,22,1997,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1272,Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,24,1995,31.3,4.03,4.02,2.46,1.5,0.03,0.03,0,0.58,0.57,0.42,0.16,0,0,0,0,Matches
1273,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23,1995,13.6,0.51,0.51,0.37,0,0.07,0.07,0,0,0,0,0,0,0,0,0,Matches
1274,Joshua King,no NOR,"FW,MF",Bournemouth,eng Premier League,27,1992,22.3,2.51,2.51,1.66,0,0.49,0.13,0.22,0.36,0.36,0.18,0,0.09,0.04,0.04,0,Matches
1275,Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23,1996,18.3,1.48,1.48,0.93,0.11,0.22,0.11,0.11,0.33,0.33,0.27,0,0.05,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1276,Simon Kjær,dk DEN,DF,Atalanta,it Serie A,30,1989,3.2,0.31,0.31,0.31,0,0,0,0,0.31,0.31,0.31,0,0,0,0,0,Matches
1277,Simon Kjær,dk DEN,DF,Milan,it Serie A,30,1989,13.8,0.14,0.15,0.07,0,0,0.07,0,0,0,0,0,0,0,0,0,Matches
1278,Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26,1993,32.6,2.42,2.42,2.02,0.06,0.09,0.06,0.15,0.37,0.37,0.18,0,0.03,0.03,0.09,0.03,Matches
1279,Felix Klaus,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,1992,7.4,2.03,2.01,1.76,0,0.14,0,0.14,0.27,0.27,0.14,0,0,0,0.14,0,Matches
1280,Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,33,1985,26.2,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1281,Timm Klose,ch SUI,DF,Norwich City,eng Premier League,31,1988,6.5,0.31,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1282,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,1996,29.4,1.26,1.26,1.05,0.07,0.03,0.07,0.03,0.14,0.14,0.1,0,0,0.03,0,0,Matches
1283,Justin Kluivert,nl NED,FW,Roma,it Serie A,20,1999,16.8,3.21,3.21,2.68,0.06,0.24,0.06,0.12,0.3,0.3,0.18,0,0.06,0,0,0.06,Matches
1284,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,23,1996,20.9,1.2,1.2,1.05,0.05,0.1,0,0,0.33,0.34,0.29,0.05,0,0,0,0,Matches
1285,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,27,1992,17.7,0.79,0.79,0.73,0,0.06,0,0,0,0,0,0,0,0,0,0,Matches
1286,Robin Koch,de GER,"DF,MF",Freiburg,de Bundesliga,23,1996,30.1,1.03,1.03,0.93,0,0,0.07,0.03,0,0,0,0,0,0,0,0,Matches
1287,Giorgi Kochorashvili,ge GEO,MF,Levante,es La Liga,20,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1288,Jonathan Kodjia,ci CIV,"FW,MF",Aston Villa,eng Premier League,29,1989,1.3,2.31,2.31,1.54,0,0.77,0,0,0,0,0,0,0,0,0,0,Matches
1289,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,es La Liga,25,1993,4,1,0.99,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,Matches
1290,Dominik Kohr,de GER,MF,Eint Frankfurt,de Bundesliga,25,1994,16.1,2.42,2.43,1.74,0,0.19,0.31,0.19,0.31,0.31,0.19,0,0.06,0.06,0,0,Matches
1291,Koke,es ESP,MF,Atlético Madrid,es La Liga,27,1992,30,3.03,3.04,1.93,0.87,0,0.1,0.13,0.27,0.27,0.27,0,0,0,0,0,Matches
1292,Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,33,1985,30.4,3.39,3.39,2.2,0.72,0.07,0.33,0.03,0.23,0.23,0.16,0.03,0,0,0,0.03,Matches
1293,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,26,1993,18.9,0.95,0.95,0.95,0,0,0,0,0.11,0.11,0.11,0,0,0,0,0,Matches
1294,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1991,14.5,0.9,0.9,0.83,0.07,0,0,0,0.07,0.07,0,0.07,0,0,0,0,Matches
1295,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,23,1995,14.8,2.09,2.09,1.82,0.2,0,0,0.07,0.2,0.2,0.14,0,0,0,0.07,0,Matches
1296,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,20,1999,6.3,0.48,0.47,0.48,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1297,Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,26,1993,6.8,1.47,1.47,1.18,0,0.15,0.15,0,0.15,0.15,0,0,0,0.15,0,0,Matches
1298,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,20.1,0.9,0.9,0.75,0,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,Matches
1299,Kouadio Koné,fr FRA,MF,Toulouse,fr Ligue 1,18,2001,9.7,1.55,1.54,1.34,0,0.1,0,0.1,0.21,0.21,0.21,0,0,0,0,0,Matches
1300,Lamine Koné,ci CIV,DF,Strasbourg,fr Ligue 1,30,1989,16.4,0.37,0.37,0.3,0,0,0.06,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1301,Moussa Koné,sn SEN,FW,Nîmes,fr Ligue 1,22,1996,1.6,3.13,3.21,1.25,0,0.63,0.63,0.63,0,0,0,0,0,0,0,0,Matches
1302,Youssouf Koné,ml MLI,DF,Lyon,fr Ligue 1,24,1995,9.1,1.76,1.76,1.54,0.11,0.11,0,0,0,0,0,0,0,0,0,0,Matches
1303,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,1998,22.7,0.62,0.62,0.4,0,0.04,0.09,0.09,0.09,0.09,0.04,0,0,0.04,0,0,Matches
1304,Pascal Köpke,de GER,FW,Hertha BSC,de Bundesliga,23,1995,1.3,2.31,2.23,0,0.77,0,1.54,0,0,0,0,0,0,0,0,0,Matches
1305,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,1985,24.3,0.53,0.54,0.53,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
1306,Filip Kosti?,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,26,1992,32.9,4.26,4.26,1.98,1.4,0.3,0.4,0.18,0.61,0.61,0.27,0.24,0,0.09,0,0,Matches
1307,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,21,1997,3.3,3.64,3.59,2.42,0,0.61,0.3,0.3,0.61,0.6,0.3,0,0,0.3,0,0,Matches
1308,Christian Kouamé,ci CIV,FW,Genoa,it Serie A,21,1997,10.2,2.84,2.85,2.06,0.1,0.1,0.1,0.49,0.59,0.59,0.29,0,0.1,0,0.2,0,Matches
1309,Nianzou Kouassi,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,17,2002,5,0.8,0.8,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,Matches
1310,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1311,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,28,1991,23.4,0.85,0.86,0.73,0,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0.04,0,Matches
1312,Efthimis Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,17.1,1.81,1.81,1.64,0,0,0.06,0.12,0.23,0.23,0.23,0,0,0,0,0,Matches
1313,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,20,1998,25.7,0.54,0.55,0.39,0.04,0.08,0.04,0,0.12,0.12,0.08,0,0,0.04,0,0,Matches
1314,Leonardo Koutris,gr GRE,DF,Mallorca,es La Liga,24,1995,1,4,3.87,3,1,0,0,0,0,0,0,0,0,0,0,0,Matches
1315,Cheikhou Kouyaté,sn SEN,"MF,DF",Crystal Palace,eng Premier League,29,1989,28.1,0.57,0.57,0.5,0,0.04,0.04,0,0.04,0.04,0.04,0,0,0,0,0,Matches
1316,Mateo Kova?i?,hr CRO,MF,Chelsea,eng Premier League,25,1994,23,2.78,2.78,2.61,0,0.09,0.04,0.04,0.3,0.3,0.3,0,0,0,0,0,Matches
1317,Dawid Kownacki,pl POL,"FW,MF",Düsseldorf,de Bundesliga,22,1997,12.1,2.73,2.72,1.65,0.08,0.5,0.25,0.25,0.17,0.16,0.08,0,0,0,0.08,0,Matches
1318,?smail Köyba??,tr TUR,"DF,FW",Granada,es La Liga,30,1989,2.6,1.92,1.95,1.92,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1319,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1320,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,1994,11.3,0.35,0.35,0.35,0,0,0,0,0.09,0.09,0.09,0,0,0,0,0,Matches
1321,Andrej Kramari?,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,28,1991,15.8,3.23,3.23,1.96,0.13,0.32,0.38,0.38,0.63,0.63,0.38,0,0.13,0.06,0,0.06,Matches
1322,Christoph Kramer,de GER,MF,M'gladbach,de Bundesliga,28,1991,16.3,1.35,1.35,1.1,0.12,0,0.06,0.06,0.18,0.18,0.12,0.06,0,0,0,0,Matches
1323,Tom Krauß,de GER,MF,RB Leipzig,de Bundesliga,18,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1324,Ladislav Krej?í,cz CZE,DF,Bologna,it Serie A,27,1992,11.7,2.22,2.23,1.88,0.09,0.17,0,0.09,0.09,0.09,0,0,0.09,0,0,0,Matches
1325,Rene Krhin,si SVN,"DF,MF",Nantes,fr Ligue 1,29,1990,3.6,0.28,0.28,0.28,0,0,0,0,0.28,0.28,0.28,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1326,Felix Kroos,de GER,MF,Union Berlin,de Bundesliga,28,1991,4.2,1.9,1.9,0.95,0.24,0,0.48,0.24,0,0,0,0,0,0,0,0,Matches
1327,Toni Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,29.5,3.46,3.46,2.03,1.08,0.07,0.17,0.1,0.24,0.24,0.14,0.1,0,0,0,0,Matches
1328,Tim Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36,0.06,0.06,0.03,0.03,0,0,0,0.03,0.03,0.03,0,0,0,0,0,Matches
1329,Rade Kruni?,ba BIH,MF,Milan,it Serie A,25,1993,6,3.5,3.52,3,0,0.17,0,0.33,0.33,0.34,0.33,0,0,0,0,0,Matches
1330,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,26,1992,2.3,0.43,0.43,0.43,0,0,0,0,0.43,0.43,0.43,0,0,0,0,0,Matches
1331,Takefusa Kubo,jp JPN,"MF,FW",Mallorca,es La Liga,18,2001,25.7,3.46,3.46,2.26,0.16,0.47,0.12,0.47,0.7,0.7,0.47,0,0.08,0.04,0.12,0,Matches
1332,Juraj Kucka,sk SVK,"MF,FW",Parma,it Serie A,32,1987,21.5,2.05,2.05,1.53,0,0.19,0.14,0.19,0.47,0.47,0.23,0,0.09,0.09,0.05,0,Matches
1333,Dejan Kulusevski,se SWE,"FW,MF",Parma,it Serie A,19,2000,32.6,4.2,4.21,3.31,0.09,0.43,0.21,0.15,0.46,0.46,0.28,0,0.09,0.06,0.03,0,Matches
1334,Marash Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,0.46,0.46,0.37,0,0,0.05,0.05,0.09,0.09,0,0,0,0.05,0.05,0,Matches
1335,Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,1.5,1.5,1.16,0.05,0.24,0,0.05,0.19,0.19,0.1,0,0.1,0,0,0,Matches
1336,Jasmin Kurti?,si SVN,MF,SPAL,it Serie A,30,1989,15.7,3.25,3.26,1.85,0.51,0.25,0.32,0.32,0,0,0,0,0,0,0,0,Matches
1337,Jasmin Kurti?,si SVN,"MF,FW",Parma,it Serie A,30,1989,18.5,1.89,1.89,1.19,0.59,0,0.05,0.05,0.11,0.11,0.11,0,0,0,0,0,Matches
1338,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,1.26,1.26,0.84,0.11,0.11,0,0.21,0.32,0.31,0.11,0,0.11,0,0.11,0,Matches
1339,Dereck Kutesa,ch SUI,"FW,MF",Reims,fr Ligue 1,21,1997,5.9,1.19,1.19,0.85,0,0.17,0,0.17,0.34,0.34,0.17,0,0.17,0,0,0,Matches
1340,Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,de Bundesliga,19,2000,7.5,2.4,2.39,1.47,0,0.4,0.4,0.13,0.53,0.53,0.53,0,0,0,0,0,Matches
1341,Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,1.38,1.37,1.19,0.09,0,0.09,0,0.18,0.18,0.09,0,0,0.09,0,0,Matches
1342,Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,1.43,1.45,0.95,0,0,0,0.48,0,0,0,0,0,0,0,0,Matches
1343,Andrea La Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,1.97,1.95,1.31,0,0,0.66,0,0.16,0.16,0,0,0,0.16,0,0,Matches
1344,Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,2.49,2.49,1.89,0,0.12,0.16,0.32,0.36,0.36,0.32,0,0,0,0.04,0,Matches
1345,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,2.79,2.79,1.73,0,0.24,0.43,0.38,0.63,0.62,0.24,0,0.14,0.19,0.05,0,Matches
1346,Riccardo Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.4,2.86,2.83,2.14,0.71,0,0,0,0,0,0,0,0,0,0,0,Matches
1347,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27,0.15,0.15,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,Matches
1348,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,0.51,0.51,0.51,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,Matches
1349,Jack Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1350,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,2.13,2.13,1.74,0,0.26,0,0.13,0.72,0.72,0.55,0,0.17,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1351,Stefan Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,1.99,1.99,1.79,0.07,0.07,0,0.07,0.23,0.23,0.17,0,0,0,0.07,0,Matches
1352,Diego Lainez,mx MEX,"MF,FW",Betis,es La Liga,19,2000,3.9,1.03,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1353,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,2.25,2.25,1.63,0.44,0.09,0.04,0.04,0.04,0.04,0,0.04,0,0,0,0,Matches
