Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1.91,1.91,1.34,0.38,0,0.11,0.08,0.19,0.19,0.15,0,0,0.04,0,0,Matches
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,3.2,3.21,1.97,0.82,0.33,0.08,0,0.41,0.41,0.25,0.08,0.08,0,0,0,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,2.98,2.98,2.77,0,0.21,0,0,0,0,0,0,0,0,0,0,Matches
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,1.78,1.78,1.44,0,0.25,0.08,0,0.08,0.08,0.08,0,0,0,0,0,Matches
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,2.81,2.8,2.14,0.2,0.26,0.1,0.1,0.41,0.41,0.31,0,0.1,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,2.96,2.95,1.58,0.05,0.77,0.26,0.31,0.36,0.36,0.1,0,0.1,0.1,0.05,0,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,1.49,1.49,1.4,0.09,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1.11,1.1,1.11,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,2.88,2.88,1.93,0.29,0.33,0.07,0.26,0.18,0.18,0.11,0.04,0.04,0,0,0,Matches
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3.09,3.08,2.07,0.05,0.37,0.28,0.32,0.46,0.46,0.41,0,0,0.05,0,0,Matches
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,1.43,1.41,1.43,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0.96,0.95,0.73,0.22,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1.09,1.09,0.56,0.21,0.06,0.12,0.15,0.12,0.12,0.09,0.03,0,0,0,0,Matches
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,2.22,2.25,2.22,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1.79,1.78,1.62,0.04,0,0,0.09,0.21,0.21,0.17,0,0,0,0,0.04,Matches
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,3.26,3.26,1.74,0.11,0.87,0.22,0.33,0.22,0.22,0.11,0,0,0.11,0,0,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,0.22,0.22,0.12,0,0.03,0.06,0,0.09,0.09,0.06,0,0,0.03,0,0,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,0.9,0.9,0.67,0.13,0,0.09,0,0.09,0.09,0.09,0,0,0,0,0,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,1.75,1.76,1.5,0.17,0,0.08,0,0.17,0.17,0.17,0,0,0,0,0,Matches
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,2.51,2.52,1.94,0,0.21,0.21,0.16,0.42,0.42,0.26,0,0.05,0.1,0,0,Matches
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,1.7,1.71,1.14,0,0,0.11,0.45,0.23,0.23,0.11,0,0,0,0.11,0,Matches
124,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,3.78,3.74,2.16,0.54,0.81,0,0.27,0,0,0,0,0,0,0,0,Matches
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,3.83,3.83,1.63,1.57,0.13,0.26,0.26,0.42,0.41,0.16,0.16,0,0.06,0.03,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0.03,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,2.25,2.25,2.25,0,0,0,0,0.42,0.42,0.42,0,0,0,0,0,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,0.57,0.57,0.57,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,0.09,0.09,0.06,0.03,0,0,0,0.03,0.03,0.03,0,0,0,0,0,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,2.97,2.95,2.16,0,0.54,0.27,0,0.27,0.27,0.27,0,0,0,0,0,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,6.25,5.92,3.75,0,2.5,0,0,0,0,0,0,0,0,0,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,2.85,2.84,2.1,0.03,0.28,0.14,0.3,0.33,0.33,0.17,0,0.11,0,0.06,0,Matches
133,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,3.22,3.22,2.2,0,0.17,0,0.85,0.51,0.51,0.17,0,0,0,0.34,0,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,3.33,3,0,0,0,3.33,0,0,0,0,0,0,0,0,0,Matches
135,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,2.65,2.64,2.05,0.24,0.24,0,0.12,0.36,0.36,0.24,0.12,0,0,0,0,Matches
136,Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,2.79,2.78,1.62,0,0.81,0.09,0.27,0.18,0.18,0.09,0,0,0,0.09,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,1.55,1.55,1.09,0,0.2,0.11,0.14,0.26,0.26,0.17,0,0,0.06,0.03,0,Matches
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,3.1,3.09,2.78,0.16,0.16,0,0,0.24,0.24,0.24,0,0,0,0,0,Matches
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,2.33,2.37,0.67,0,0.33,0,1.33,0.67,0.68,0,0,0,0,0.67,0,Matches
141,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,1.94,1.95,1.46,0.39,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,Matches
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30,1.6,1.6,1.43,0.07,0.07,0,0,0.2,0.2,0.13,0,0.03,0,0,0.03,Matches
143,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,4.04,4.05,2.65,1.03,0.15,0.15,0.07,0.44,0.44,0.37,0,0,0.07,0,0,Matches
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,2.71,2.72,1.64,0,0.4,0.28,0.4,0.34,0.34,0.17,0,0.06,0,0.11,0,Matches
145,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,1997,2,3,2.93,2.5,0,0.5,0,0,1,0.98,0.5,0,0.5,0,0,0,Matches
