Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,0.12,1.64,0.51,30.9,1.64,0.51,0.07,0.24,0,0,0,0.19,0.19,0.12,-0.07,-0.07,0.04,0.23,0.23
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,0.25,1.89,0.5,26.7,1.89,0.5,0.13,0.5,0.06,0,0,0.13,0.13,0.07,0.13,0.13,0.13,0.26,0.26
67,Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,0,0.52,0,0,0.52,0,0,,0,0,0,0.01,0.01,0.03,-0.01,-0.01,0.02,0.03,0.03
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.02,0.04,0.04
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,0,0.31,0,0,0.31,0,0,,0,0,0,0.02,0.02,0.06,-0.02,-0.02,0,0,0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0,0.38,0.06,16.7,0.38,0.06,0,0,0,0,0,0.04,0.04,0.1,-0.04,-0.04,0.02,0.05,0.05
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0,0.77,0.03,4.3,0.77,0.03,0,0,0.34,0,0,0.03,0.03,0.04,-0.03,-0.03,0.02,0.05,0.05
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,0,0.98,0.23,23.1,0.98,0.23,0,0,0,0,0,0.09,0.09,0.09,-0.09,-0.09,0.05,0.14,0.14
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,0,0.71,0.12,16.7,0.71,0.12,0,0,0,0,0,0.12,0.12,0.16,-0.12,-0.12,0,0.12,0.12
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0,0.47,0,0,0.47,0,0,,0,0,0,0.05,0.05,0.09,-0.05,-0.05,0,0.05,0.05
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,0.05,0.59,0.11,18.2,0.58,0.11,0.09,0.5,0,0,0,0.02,0.02,0.03,0.04,0.04,0.04,0.06,0.06
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,0.04,0.63,0.17,26.7,0.62,0.17,0.07,0.25,0,0,0,0.02,0.02,0.04,0.02,0.02,0.05,0.08,0.08
78,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,0,3.77,0.66,17.4,3.78,0.66,0,0,0,0,0,0.23,0.23,0.06,-0.23,-0.23,0.09,0.31,0.31
