Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1597,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Paris S-G,fr Ligue 1,30,1989,5,0.6,3.6,1.4,38.9,3.59,1.4,0.17,0.43,0,0,0,0.46,0.46,0.13,0.14,0.14,0.11,0.58,0.58
1598,Alexandru Maxim,ro ROU,MF,Mainz 05,de Bundesliga,29,1990,1.3,0,2.31,0,0,2.31,0,0,,0,0,0,0.08,0.08,0.03,-0.08,-0.08,0.37,0.44,0.44
1599,Kévin Mayi,fr FRA,FW,Brest,fr Ligue 1,26,1993,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1600,Borja Mayoral,es ESP,FW,Levante,es La Liga,22,1997,23.8,0.34,1.89,0.76,40,1.89,0.76,0.18,0.44,0,0,0,0.32,0.32,0.17,0.01,0.01,0.11,0.43,0.43
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1601,Luca Mazzitelli,it ITA,MF,Sassuolo,it Serie A,23,1995,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1602,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,24,1995,18.8,0.16,0.48,0.16,33.3,0.48,0.16,0.33,1,0,0,0,0.04,0.04,0.09,0.12,0.12,0.12,0.16,0.16
1603,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,20,1998,16.8,1.07,5.24,2.92,55.7,5.23,2.91,0.2,0.37,0,0,0,1.02,1.02,0.2,0.05,0.05,0.5,1.52,1.52
1604,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,24,1994,16.7,0,0.3,0.06,20,0.3,0.06,0,0,0,0,0,0.02,0.02,0.08,-0.02,-0.02,0.03,0.05,0.05
1605,Loïc Mbe Soh,fr FRA,DF,Paris S-G,fr Ligue 1,18,2001,0.6,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1606,Isaac Mbenza,be BEL,FW,Amiens,fr Ligue 1,23,1996,0.9,0,4.44,1.11,25,4.29,1.07,0,0,1.11,0,0,0.22,0.22,0.04,-0.22,-0.22,0.1,0.27,0.27
1607,Nathanael Mbuku,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2002,4.4,0,1.82,0.23,12.5,1.82,0.23,0,0,0,0,0,0.09,0.09,0.04,-0.09,-0.09,0.03,0.11,0.11
1608,James McArthur,sco SCO,MF,Crystal Palace,eng Premier League,31,1987,34.3,0,0.85,0.17,20.7,0.84,0.17,0,0,0,0,0,0.07,0.07,0.08,-0.07,-0.07,0.07,0.14,0.14
1609,Oliver McBurnie,sco SCO,FW,Sheffield Utd,eng Premier League,23,1996,23.5,0.26,2.09,1.02,49,2.09,1.02,0.12,0.25,0,0,0,0.32,0.32,0.16,-0.07,-0.07,0.07,0.39,0.39
1610,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,29,1989,28,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1611,James McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,28,1990,18.7,0,0.59,0.16,27.3,0.59,0.16,0,0,0,0,0,0.03,0.03,0.05,-0.03,-0.03,0.05,0.08,0.08
1612,John McGinn,sco SCO,MF,Aston Villa,eng Premier League,24,1994,25.7,0.12,2.14,0.74,34.5,2.14,0.74,0.05,0.16,0,0,0,0.15,0.15,0.07,-0.04,-0.04,0.09,0.24,0.24
1613,David McGoldrick,ie IRL,FW,Sheffield Utd,eng Premier League,31,1987,20.2,0.1,2.28,0.94,41.3,2.28,0.94,0.04,0.11,0,0,0,0.35,0.35,0.15,-0.25,-0.25,0.1,0.46,0.46
1614,Michael McGovern,nir NIR,GK,Norwich City,eng Premier League,35,1984,1.8,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1615,Weston McKennie,us USA,"MF,DF",Schalke 04,de Bundesliga,20,1998,23,0.13,1.39,0.3,21.9,1.39,0.3,0.09,0.43,0,0,0,0.11,0.11,0.08,0.02,0.02,0.09,0.2,0.2
1616,Kenny McLean,sco SCO,MF,Norwich City,eng Premier League,27,1992,33,0.03,0.91,0.3,33.3,0.91,0.3,0.03,0.1,0.06,0,0,0.05,0.05,0.05,-0.02,-0.02,0.06,0.11,0.11
1617,Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,19,1999,37.1,0.05,1.29,0.38,29.2,1.29,0.38,0.04,0.14,0.27,0,0,0.06,0.06,0.05,-0.01,-0.01,0.18,0.24,0.24
1618,Scott McTominay,sco SCO,MF,Manchester Utd,eng Premier League,22,1996,19.7,0.2,1.52,0.51,33.3,1.52,0.51,0.13,0.4,0,0,0,0.08,0.08,0.05,0.13,0.13,0.03,0.11,0.11
1619,Biagio Meccariello,it ITA,DF,Lecce,it Serie A,28,1991,8.5,0.12,0.59,0.24,40,0.59,0.23,0.2,0.5,0,0,0,0.02,0.02,0.04,0.09,0.09,0.02,0.04,0.04
1620,Gary Medel,cl CHI,MF,Bologna,it Serie A,31,1987,19.8,0,0.25,0.05,20,0.25,0.05,0,0,0,0,0,0.02,0.02,0.08,-0.02,-0.02,0.02,0.04,0.04
1621,Ben Mee,eng ENG,DF,Burnley,eng Premier League,29,1989,32,0.03,0.56,0.16,27.8,0.56,0.16,0.06,0.2,0,0,0,0.06,0.06,0.1,-0.03,-0.03,0.02,0.08,0.08
1622,Joshua Mees,de GER,"MF,FW",Union Berlin,de Bundesliga,23,1996,3.6,0,2.5,0.83,33.3,2.49,0.83,0,0,0,0,0,0.14,0.14,0.05,-0.14,-0.14,0.02,0.15,0.15
1623,Admir Mehmedi,ch SUI,"MF,FW",Wolfsburg,de Bundesliga,28,1991,13.3,0.15,1.73,0.68,39.1,1.72,0.68,0.09,0.22,0,0,0,0.13,0.13,0.07,0.02,0.02,0.1,0.23,0.23
1624,Soualiho Meïté,fr FRA,MF,Torino,it Serie A,25,1994,24.5,0,0.9,0.12,13.6,0.9,0.12,0,0,0,0,0,0.03,0.03,0.04,-0.03,-0.03,0.05,0.09,0.09
1625,Farid El Melali,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1997,3.4,0.88,1.76,1.47,83.3,1.76,1.47,0.5,0.6,0,0,0,0.21,0.21,0.12,0.68,0.68,0.01,0.23,0.23
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1626,Óscar Melendo,es ESP,"MF,FW",Espanyol,es La Liga,21,1997,12.4,0,0.24,0,0,0.24,0,0,,0,0,0,0.01,0.01,0.05,-0.01,-0.01,0.03,0.05,0.05
1627,Gonzalo Melero,es ESP,MF,Levante,es La Liga,25,1994,13.7,0.15,1.24,0.51,41.2,1.24,0.51,0.06,0.14,0,0.07,0.07,0.18,0.12,0.09,-0.03,-0.04,0.06,0.23,0.18
1628,Arthur Melo,br BRA,MF,Barcelona,es La Liga,22,1996,13.1,0.23,0.61,0.38,62.5,0.61,0.38,0.38,0.6,0,0,0,0.1,0.1,0.16,0.13,0.13,0.09,0.19,0.19
1629,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,28,1990,15.3,0.07,0.59,0.2,33.3,0.59,0.2,0.11,0.33,0,0,0,0.07,0.07,0.12,0,0,0.01,0.07,0.07
1630,Thiago Mendes,br BRA,MF,Lyon,fr Ligue 1,27,1992,20.1,0,1.29,0.15,11.5,1.29,0.15,0,0,0,0,0,0.06,0.06,0.04,-0.06,-0.06,0.08,0.14,0.14
1631,Brais Méndez,es ESP,"MF,FW",Celta Vigo,es La Liga,22,1997,16.4,0,1.46,0.49,33.3,1.46,0.49,0,0,0,0,0,0.09,0.09,0.06,-0.09,-0.09,0.06,0.16,0.16
1632,Édgar Méndez,es ESP,"MF,FW",Alavés,es La Liga,28,1991,9.6,0.1,0.94,0.42,44.4,0.94,0.42,0.11,0.25,0,0,0,0.05,0.05,0.05,0.05,0.05,0.06,0.11,0.11
1633,Stiven Mendoza,co COL,"FW,MF",Amiens,fr Ligue 1,27,1992,12.2,0.41,1.89,0.74,39.1,1.88,0.74,0.22,0.56,0.08,0,0,0.29,0.29,0.15,0.12,0.12,0.03,0.32,0.32
1634,Alexandre Mendy,fr FRA,"FW,MF",Brest,fr Ligue 1,25,1994,10,0.3,2.9,0.9,31,2.9,0.9,0.1,0.33,0,0,0.1,0.36,0.29,0.1,-0.06,0.01,0.04,0.4,0.33
1635,Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,25,1994,16.6,0,0.6,0.06,10,0.6,0.06,0,0,0,0,0,0.02,0.02,0.03,-0.02,-0.02,0.08,0.1,0.1
1636,Edouard Mendy,sn SEN,GK,Rennes,fr Ligue 1,27,1992,24,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1637,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,24,1995,20.1,0.05,0.35,0.1,28.6,0.35,0.1,0.14,0.5,0,0,0,0.02,0.02,0.07,0.02,0.02,0.1,0.13,0.13
1638,Nampalys Mendy,fr FRA,MF,Leicester City,eng Premier League,27,1992,3.2,0,0.31,0.31,100,0.31,0.31,0,0,0,0,0,0,0,0.01,0,0,0.03,0.03,0.03
1639,Hamza Mendyl,ma MAR,DF,Dijon,fr Ligue 1,21,1997,16,0.06,0.63,0.06,10,0.62,0.06,0.1,1,0.06,0,0,0.04,0.04,0.06,0.03,0.03,0.08,0.12,0.12
1640,Chris Mepham,wal WAL,DF,Bournemouth,eng Premier League,21,1997,10.1,0.1,0.59,0.1,16.7,0.59,0.1,0.17,1,0,0,0,0.06,0.06,0.11,0.04,0.04,0.01,0.07,0.07
1641,Levent Mercan,de GER,MF,Schalke 04,de Bundesliga,18,2000,0.8,0,1.25,0,0,1.27,0,0,,0,0,0,0,0,0.03,0,0,0,0.04,0.04
1642,Jorge Meré,es ESP,DF,Köln,de Bundesliga,22,1997,6.9,0.14,0.43,0.14,33.3,0.44,0.15,0.33,1,0,0,0,0.1,0.1,0.25,0.04,0.04,0.01,0.12,0.12
1643,Alex Meret,it ITA,GK,Napoli,it Serie A,22,1997,21.7,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1644,Fran Mérida,es ESP,MF,Osasuna,es La Liga,29,1990,12.9,0,1.01,0.16,15.4,1.01,0.16,0,0,0,0,0,0.02,0.02,0.02,-0.02,-0.02,0.02,0.05,0.05
1645,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,23,1996,34.9,0.14,1.26,0.4,31.8,1.26,0.4,0.11,0.36,0.03,0,0,0.08,0.08,0.06,0.06,0.06,0.06,0.14,0.14
1646,Sabin Merino,es ESP,FW,Leganés,es La Liga,27,1992,0.9,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.03,0.03,0.03
1647,Y?ld?r?m Mert Çetin,tr TUR,DF,Roma,it Serie A,22,1997,2.9,0,1.03,0,0,1.05,0,0,,0,0,0,0.1,0.1,0.1,-0.1,-0.1,0,0.1,0.1
1648,Dries Mertens,be BEL,FW,Napoli,it Serie A,32,1987,18.8,0.48,3.99,1.28,32,4,1.28,0.12,0.38,0.21,0,0,0.28,0.28,0.07,0.2,0.2,0.34,0.62,0.62
1649,Roque Mesa,es ESP,MF,Leganés,es La Liga,30,1989,22.4,0.04,1.16,0.4,34.6,1.16,0.4,0.04,0.11,0.04,0,0,0.06,0.06,0.05,-0.01,-0.01,0.11,0.17,0.17
1650,Lionel Messi,ar ARG,"FW,MF",Barcelona,es La Liga,32,1987,32,0.78,4.81,1.97,40.9,4.81,1.97,0.13,0.32,1.34,0.16,0.16,0.6,0.48,0.1,0.18,0.14,0.48,1.08,0.96
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1651,Thomas Meunier,be BEL,DF,Paris S-G,fr Ligue 1,27,1991,13.8,0,0.29,0.14,50,0.29,0.14,0,0,0,0,0,0.03,0.03,0.09,-0.03,-0.03,0.15,0.17,0.17
1652,Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,30,1988,16.5,0,0.55,0,0,0.54,0,0,,0,0,0,0.03,0.03,0.05,-0.03,-0.03,0.02,0.05,0.05
1653,Max Meyer,de GER,"MF,FW",Crystal Palace,eng Premier League,23,1995,7.3,0,1.23,0.27,22.2,1.24,0.27,0,0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,0.09,0.18,0.18
1654,Kingsley Michael,ng NGA,MF,Bologna,it Serie A,19,1999,0.8,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.13,0.13,0.13
1655,Míchel,es ESP,MF,Valladolid,es La Liga,31,1988,24.2,0.04,0.45,0.08,18.2,0.45,0.08,0,0,0.08,0.04,0.04,0.05,0.02,0.04,-0.01,-0.02,0.09,0.14,0.11
1656,Sven Michel,de GER,FW,Paderborn 07,de Bundesliga,29,1990,15.3,0.33,2.81,1.24,44.2,2.81,1.24,0.12,0.26,0,0,0,0.38,0.38,0.14,-0.05,-0.05,0.09,0.47,0.47
1657,Miguel,es ESP,FW,Valladolid,es La Liga,19,1999,2.6,0,0.77,0.38,50,0.78,0.39,0,0,0,0,0,0,0,0.02,0,0,0.22,0.24,0.24
1658,Florian Miguel,fr FRA,DF,Nîmes,fr Ligue 1,22,1996,22.8,0.04,0.75,0.09,11.8,0.74,0.09,0.06,0.5,0,0,0,0.06,0.06,0.07,-0.01,-0.01,0.04,0.1,0.1
1659,Georges Mikautadze,fr FRA,FW,Metz,fr Ligue 1,18,2000,0.1,0,10,0,0,11.25,0,0,,0,0,0,0,0,0.04,0,0,0,0.46,0.46
1660,Nikola Milenkovi?,rs SRB,DF,Fiorentina,it Serie A,21,1997,36.2,0.14,0.8,0.36,44.8,0.8,0.36,0.17,0.38,0,0,0,0.08,0.08,0.1,0.06,0.06,0,0.08,0.08
1661,Arkadiusz Milik,pl POL,FW,Napoli,it Serie A,25,1994,19.4,0.57,3.45,1.39,40.3,3.45,1.39,0.16,0.41,0.15,0,0,0.53,0.53,0.16,0.04,0.04,0.11,0.64,0.64
1662,Sergej Milinkovi?-Savi?,rs SRB,MF,Lazio,it Serie A,24,1995,33.7,0.21,2.49,0.68,27.4,2.5,0.68,0.08,0.3,0.21,0,0,0.2,0.2,0.08,0,0,0.14,0.34,0.34
1663,Éder Militão,br BRA,DF,Real Madrid,es La Liga,21,1998,11.4,0,0.26,0.09,33.3,0.26,0.09,0,0,0,0,0,0.01,0.01,0.02,-0.01,-0.01,0,0.01,0.01
1664,Luka Milivojevi?,rs SRB,MF,Crystal Palace,eng Premier League,28,1991,27.9,0.11,1.04,0.25,24.1,1.04,0.25,0.03,0.14,0.39,0.07,0.07,0.09,0.04,0.03,0.02,0,0.07,0.15,0.1
1665,Vincenzo Millico,it ITA,"MF,FW",Torino,it Serie A,18,2000,2.4,0,2.5,0,0,2.5,0,0,,0,0,0,0.08,0.08,0.03,-0.08,-0.08,0.12,0.18,0.18
1666,James Milner,eng ENG,"MF,DF",Liverpool,eng Premier League,33,1986,10.4,0.19,0.96,0.1,10,0.96,0.1,0,0,0,0.19,0.19,0.2,0.06,0.06,-0.01,-0.06,0.07,0.27,0.12
1667,Santi Mina,es ESP,"FW,MF",Celta Vigo,es La Liga,23,1995,21.6,0.28,2.22,0.65,29.2,2.22,0.65,0.13,0.43,0.05,0,0,0.26,0.26,0.12,0.01,0.01,0.11,0.37,0.37
1668,Yerry Mina,co COL,DF,Everton,eng Premier League,24,1994,25.4,0.08,1.18,0.39,33.3,1.18,0.39,0.07,0.2,0,0,0,0.09,0.09,0.07,-0.01,-0.01,0.01,0.09,0.09
1669,Takumi Minamino,jp JPN,"FW,MF",Liverpool,eng Premier League,24,1995,2.8,0,3.21,0.71,22.2,3.25,0.72,0,0,0,0,0,0.5,0.5,0.15,-0.5,-0.5,0.01,0.52,0.52
1670,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,26,1993,32.2,0.06,0.28,0.12,44.4,0.28,0.12,0.22,0.5,0,0,0,0.03,0.03,0.12,0.03,0.03,0.02,0.06,0.06
1671,Jorge Miramón,es ESP,DF,Levante,es La Liga,30,1989,27,0,0.33,0.07,22.2,0.33,0.07,0,0,0,0,0,0.01,0.01,0.03,-0.01,-0.01,0.08,0.09,0.09
1672,Juan Miranda,es ESP,DF,Schalke 04,de Bundesliga,19,2000,8.7,0,0.57,0.11,20,0.58,0.12,0,0,0,0,0,0.01,0.01,0.03,-0.01,-0.01,0.09,0.11,0.11
1673,Antonio Mirante,it ITA,GK,Roma,it Serie A,36,1983,5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1674,Simone Missiroli,it ITA,MF,SPAL,it Serie A,33,1986,31.1,0.03,0.42,0.1,23.1,0.42,0.1,0.08,0.33,0,0,0,0.04,0.04,0.09,-0.01,-0.01,0.03,0.07,0.07
1675,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,19,1999,2.2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.1,0.1,0.1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1676,Stefan Mitrovi?,rs SRB,DF,Strasbourg,fr Ligue 1,29,1990,22.8,0.04,0.18,0.09,50,0.18,0.09,0.25,0.5,0,0,0,0.01,0.01,0.05,0.04,0.04,0.02,0.03,0.03
1677,Maximilian Mittelstädt,de GER,"DF,FW",Hertha BSC,de Bundesliga,22,1997,21,0.05,1.05,0.24,22.7,1.05,0.24,0.05,0.2,0,0,0,0.04,0.04,0.04,0,0,0.08,0.12,0.12
1678,Henrikh Mkhitaryan,am ARM,FW,Arsenal,eng Premier League,30,1989,1.2,0,1.67,0,0,1.61,0,0,,0,0,0,0.17,0.17,0.12,-0.17,-0.17,0.18,0.37,0.37
1679,Henrikh Mkhitaryan,am ARM,"MF,FW",Roma,it Serie A,30,1989,17,0.53,2.53,0.94,37.2,2.53,0.94,0.21,0.56,0,0,0,0.38,0.38,0.15,0.15,0.15,0.18,0.57,0.57
1680,Anthony Modeste,fr FRA,"FW,MF",Köln,de Bundesliga,31,1988,12.6,0.32,2.7,0.79,29.4,2.69,0.79,0.12,0.4,0,0,0,0.29,0.29,0.11,0.03,0.03,0.08,0.37,0.37
1681,Luka Modri?,hr CRO,MF,Real Madrid,es La Liga,33,1985,22.2,0.14,1.35,0.59,43.3,1.35,0.59,0.1,0.23,0,0,0,0.09,0.09,0.07,0.05,0.05,0.15,0.24,0.24
1682,Kevin Möhwald,de GER,MF,Werder Bremen,de Bundesliga,26,1993,0.8,0,6.25,1.25,20,6.08,1.22,0,0,0,0,0,0.13,0.13,0.03,-0.13,-0.13,0,0.16,0.16
1683,Niklas Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,33,1985,22,0,0.73,0.14,18.8,0.73,0.14,0,0,0,0,0,0.08,0.08,0.1,-0.08,-0.08,0.01,0.08,0.08
1684,Jorge Molina,es ESP,FW,Getafe,es La Liga,37,1982,21,0.24,1.43,0.33,23.3,1.43,0.33,0.1,0.43,0,0.1,0.1,0.26,0.19,0.13,-0.02,-0.05,0.16,0.42,0.35
1685,Florent Mollet,fr FRA,MF,Montpellier,fr Ligue 1,27,1991,18.7,0.32,2.51,1.18,46.8,2.51,1.18,0.13,0.27,0.59,0,0,0.14,0.14,0.06,0.18,0.18,0.21,0.36,0.36
1686,Jon Moncayola,es ESP,"MF,DF",Osasuna,es La Liga,21,1998,16.6,0.06,0.84,0.18,21.4,0.84,0.18,0.07,0.33,0,0,0,0.04,0.04,0.05,0.02,0.02,0.02,0.06,0.06
1687,Gabriele Moncini,it ITA,"FW,MF",SPAL,it Serie A,23,1996,1.7,0,1.76,0,0,1.75,0,0,,0,0,0,0.29,0.29,0.16,-0.29,-0.29,0.02,0.31,0.31
1688,Thomas Monconduit,fr FRA,MF,Amiens,fr Ligue 1,28,1991,15.2,0,0.72,0.13,18.2,0.73,0.13,0,0,0,0,0,0.02,0.02,0.03,-0.02,-0.02,0.04,0.06,0.06
1689,Nacho Monreal,es ESP,DF,Arsenal,eng Premier League,33,1986,3,0,0.33,0,0,0.33,0,0,,0,0,0,0.03,0.03,0.08,-0.03,-0.03,0.08,0.11,0.11
1690,Nacho Monreal,es ESP,DF,Real Sociedad,es La Liga,33,1986,26.6,0.08,0.6,0.19,31.3,0.6,0.19,0.13,0.4,0,0,0,0.09,0.09,0.14,-0.01,-0.01,0.04,0.13,0.13
1691,Joan Monterde Raygal,es ESP,MF,Levante,es La Liga,21,1997,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1692,Ilario Monterisi,it ITA,DF,Lecce,it Serie A,17,2001,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1693,Ángel Montoro,es ESP,MF,Granada,es La Liga,31,1988,10.8,0.19,1.3,0.46,35.7,1.29,0.46,0.14,0.4,0.09,0,0,0.11,0.11,0.09,0.07,0.07,0.11,0.22,0.22
1694,Martín Montoya,es ESP,DF,Brighton,eng Premier League,28,1991,21.1,0,0.38,0.14,37.5,0.38,0.14,0,0,0,0,0,0.06,0.06,0.16,-0.06,-0.06,0.07,0.13,0.13
1695,Simon Moore,eng ENG,GK,Sheffield Utd,eng Premier League,29,1990,2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1696,Aaron Mooy,au AUS,"MF,FW",Brighton,eng Premier League,28,1990,23.2,0.09,1.42,0.34,24.2,1.42,0.35,0.06,0.25,0,0,0,0.09,0.09,0.06,0,0,0.14,0.23,0.23
1697,Wesley Moraes,br BRA,FW,Aston Villa,eng Premier League,22,1996,19.8,0.25,1.77,0.86,48.6,1.77,0.86,0.14,0.29,0,0,0.05,0.26,0.22,0.12,-0.01,0.03,0.04,0.3,0.26
1698,Alfredo Morales,us USA,MF,Düsseldorf,de Bundesliga,29,1990,19.2,0.05,1.09,0.26,23.8,1.09,0.26,0.05,0.2,0.05,0,0,0.05,0.05,0.05,0,0,0.04,0.09,0.09
1699,Álvaro Morata,es ESP,FW,Atlético Madrid,es La Liga,26,1992,23.3,0.52,2.75,1.16,42.2,2.75,1.16,0.16,0.37,0,0.09,0.13,0.57,0.47,0.17,-0.05,-0.04,0.15,0.72,0.62
1700,Jan Morávek,cz CZE,MF,Augsburg,de Bundesliga,29,1989,5.3,0,0.38,0,0,0.38,0,0,,0,0,0,0,0,0.02,0,0,0.07,0.08,0.08
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1701,Steven Moreira,fr FRA,DF,Toulouse,fr Ligue 1,24,1994,15.4,0,0.39,0,0,0.39,0,0,,0,0,0,0.01,0.01,0.04,-0.01,-0.01,0.1,0.11,0.11
1702,Jérémy Morel,mg MAD,DF,Rennes,fr Ligue 1,35,1984,20.1,0.05,0.65,0.15,23.1,0.65,0.15,0.08,0.33,0,0,0,0.05,0.05,0.08,0,0,0.02,0.07,0.07
1703,Alberto Moreno,es ESP,DF,Villarreal,es La Liga,27,1992,16.3,0,0.55,0.18,33.3,0.55,0.18,0,0,0,0,0,0.04,0.04,0.08,-0.04,-0.04,0.03,0.08,0.08
1704,Álex Moreno,es ESP,DF,Betis,es La Liga,26,1993,25.2,0,0.99,0.32,32,0.99,0.32,0,0,0,0,0,0.09,0.09,0.09,-0.09,-0.09,0.08,0.17,0.17
1705,Gerard Moreno,es ESP,"FW,MF",Villarreal,es La Liga,27,1992,30.5,0.59,2.79,1.05,37.6,2.79,1.05,0.2,0.53,0,0.03,0.07,0.44,0.39,0.14,0.15,0.17,0.21,0.65,0.6
1706,Mateu Morey,es ESP,"DF,FW",Dortmund,de Bundesliga,19,2000,2.2,0,0.91,0.45,50,0.91,0.46,0,0,0,0,0,0.27,0.27,0.29,-0.27,-0.27,0.18,0.45,0.45
1707,Wes Morgan,jm JAM,DF,Leicester City,eng Premier League,35,1984,4.8,0,0.63,0.21,33.3,0.62,0.21,0,0,0,0,0,0.02,0.02,0.04,-0.02,-0.02,0,0.03,0.03
1708,Manu Morlanes,es ESP,"MF,FW",Villarreal,es La Liga,20,1999,2.8,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.18,0.18,0.18
1709,Raúl Moro,es ESP,DF,Lazio,it Serie A,16,2002,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1710,Loren Morón,es ESP,FW,Betis,es La Liga,25,1993,22.6,0.44,2.17,0.8,36.7,2.17,0.8,0.2,0.56,0,0,0,0.35,0.35,0.16,0.09,0.09,0.11,0.46,0.46
1711,Leonardo Morosini,it ITA,"FW,MF",Brescia,it Serie A,23,1995,0.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1712,Ravel Morrison,eng ENG,MF,Sheffield Utd,eng Premier League,26,1993,0.1,0,10,0,0,6.92,0,0,,0,0,0,0,0,0.02,0,0,0,0.17,0.17
1713,Victor Moses,ng NGA,DF,Inter,it Serie A,28,1990,4.7,0,1.06,0,0,1.07,0,0,,0,0,0,0.04,0.04,0.04,-0.04,-0.04,0.45,0.49,0.49
1714,Lebo Mothiba,za RSA,FW,Strasbourg,fr Ligue 1,23,1996,11.6,0.26,2.33,0.95,40.7,2.32,0.95,0.11,0.27,0.09,0,0,0.48,0.48,0.21,-0.22,-0.22,0.13,0.61,0.61
1715,Harold Moukoudi,cm CMR,DF,Saint-Étienne,fr Ligue 1,21,1997,11,0,0.27,0,0,0.27,0,0,,0,0,0,0.02,0.02,0.08,-0.02,-0.02,0,0.02,0.02
1716,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,33,1986,5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1717,Mason Mount,eng ENG,"MF,FW",Chelsea,eng Premier League,20,1999,31.9,0.22,2.45,0.91,37.2,2.45,0.91,0.09,0.24,0.38,0,0,0.22,0.22,0.09,0,0,0.15,0.37,0.37
1718,Lucas Moura,br BRA,"FW,MF",Tottenham,eng Premier League,26,1992,24.9,0.16,2.25,0.52,23.2,2.25,0.52,0.07,0.31,0,0,0,0.23,0.23,0.1,-0.07,-0.07,0.1,0.33,0.33
1719,Lys Mousset,fr FRA,FW,Sheffield Utd,eng Premier League,23,1996,13.8,0.43,2.54,0.65,25.7,2.54,0.65,0.17,0.67,0,0,0,0.36,0.36,0.14,0.07,0.07,0.18,0.54,0.54
1720,Wesley Moustache,fr FRA,DF,Nantes,fr Ligue 1,20,1999,0.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
1721,João Moutinho,pt POR,MF,Wolves,eng Premier League,32,1986,34.5,0.03,0.64,0.17,27.3,0.64,0.17,0.05,0.17,0.12,0,0,0.02,0.02,0.04,0.01,0.01,0.18,0.2,0.2
