Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1765,Jesús Navas,es ESP,DF,Sevilla,es La Liga,33,1985,37.4,79,2.43,19.3,36.3,29.2,1.76,67.9,1.26,1.79,70.1,1.28,1,51.8,340.2,227,56.8,1949,91.7,0.64,0.8,Matches
1766,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,32,1986,21,27.5,25.2,27.5,0.05,0,0,20,0,0,,0,0,13.2,51.4,27.2,13.6,283,99.3,0.05,0,Matches
1767,Raúl Navas,es ESP,DF,Osasuna,es La Liga,31,1988,7.9,44.4,7.97,26.6,18.7,0.63,0.25,40.8,0.63,0.76,83.3,0.63,0,21.9,141.3,64.2,19,148,98.7,0.63,0.25,Matches
1768,Michel Ndary Adopo,fr FRA,DF,Torino,it Serie A,19,2000,0,8,0,2,4,2,0,8,0,0,,0,0,5,11,6,5,4,80,0,1,Matches
1769,Papa Ndiaga Yade,sn SEN,FW,Metz,fr Ligue 1,19,2000,0,3,0,0,2,2,0,3,0,0,,0,0,2,36,18,6,2,33.3,0,0,Matches
1770,Wilfred Ndidi,ng NGA,MF,Leicester City,eng Premier League,22,1996,29.7,69,3.47,19.2,43,10.2,0.71,68.4,0.81,1.01,80,0.84,3,41.2,183.5,70.7,43.9,1233,94.6,0.61,0.88,Matches
1771,Emanuele Ndoj,al ALB,MF,Brescia,it Serie A,22,1996,6.2,49.2,1.45,12.6,26.5,15.6,2.74,48.7,2.9,4.19,69.2,2.9,1,38.9,332.9,199,39.2,215,88.5,1.13,1.77,Matches
1772,Tanguy Ndombele,fr FRA,MF,Tottenham,eng Premier League,22,1996,11.2,68.9,1.79,12.5,40.8,19.9,2.41,67.7,3.21,4.46,72,3.39,2,54.8,281.8,164.9,54.6,563,92.1,1.34,1.43,Matches
1773,Reiss Nelson,eng ENG,FW,Arsenal,eng Premier League,19,1999,7,46.9,0.86,7,21.7,22.6,4.86,44.3,2.29,4.14,55.2,2.43,0,35.6,250.9,147.6,45.7,235,73.4,2,2,Matches
1774,Ilija Nestorovski,mk MKD,FW,Udinese,it Serie A,29,1990,13.9,38.8,1.15,3.38,20.5,16,4.46,37.3,0.65,1.15,56.3,0.79,0,23,102.4,46.6,46.5,417,64.5,1.87,1.37,Matches
1775,Neto,br BRA,GK,Barcelona,es La Liga,30,1989,2,32,28,32,0,0,0,22,0,0,,0,0,16.5,58,25.5,16.5,33,100,0,0,Matches
1776,Pedro Neto,pt POR,"FW,MF",Wolves,eng Premier League,19,2000,10.4,51.7,0.58,5.38,25.4,26.9,4.23,49.1,3.08,5.58,55.2,3.65,2,40.5,370.9,226.5,53.7,385,69,2.12,2.4,Matches
1777,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,33,1986,33,45.6,33.9,44.8,1.03,0,0,38.4,0.03,0.06,50,0.06,0,26.8,130.7,70.1,27.3,899,99.9,0.03,0,Matches
1778,Florian Neuhaus,de GER,MF,M'gladbach,de Bundesliga,22,1997,26.2,59.3,1.45,14.2,35.5,14.5,2.14,57.2,1.79,2.44,73.4,1.95,3,43.8,257.9,149.9,47.3,1092,88.1,1.07,1.15,Matches
1779,Carlos Neva,es ESP,DF,Granada,es La Liga,23,1996,24.5,45.4,2.24,12.2,23.6,11.5,0.65,35.8,0.24,0.49,50,0.24,0,22,121.6,65.1,24.9,524,86,0.53,0.61,Matches
1780,Rúben Neves,pt POR,MF,Wolves,eng Premier League,22,1997,34,67.2,2.32,15.6,42.6,11.6,0.12,65.3,0.74,0.94,78.1,0.79,0,44,170.4,81.4,46.1,1500,95.6,0.32,0.32,Matches
1781,Neymar,br BRA,"MF,FW",Paris S-G,fr Ligue 1,27,1992,14.6,89.5,0.14,6.92,46.4,47.2,7.47,83.8,5.89,10.3,57,6.44,5,75.8,574.7,344.5,84.9,1085,87.6,4.18,4.52,Matches
1782,Jeremy Ngakia,eng ENG,DF,West Ham,eng Premier League,18,2000,4.9,44.9,4.08,21,18.4,8.98,0.2,36.1,1.63,2.45,66.7,1.63,0,23.1,163.7,110.2,20.6,88,87.1,0.82,0.82,Matches
1783,Jessic Ngankam,de GER,"FW,MF",Hertha BSC,de Bundesliga,19,2000,0.9,32.2,1.11,5.56,8.89,18.9,7.78,30,1.11,4.44,25,1.11,0,24.4,171.1,114.4,30,15,55.6,4.44,3.33,Matches
1784,Muzinga Ngonda,cd COD,DF,Dijon,fr Ligue 1,25,1993,6,68.7,4.83,26.5,32.3,14.8,0.5,55.7,0.5,1.17,42.9,0.67,0,38.2,224.5,155.7,40.5,219,90.1,0.83,1.5,Matches
1785,Ahmad Ngouyamsa,cm CMR,DF,Dijon,fr Ligue 1,18,2000,0.6,,,,,,,,,,,,,,,,,,,,,Matches
1786,Opa Nguette,sn SEN,FW,Metz,fr Ligue 1,25,1994,20.3,42.6,0.94,7.24,20.3,19.5,3.05,42.3,4.29,7.09,60.4,4.68,6,37.2,272.7,158.7,42.2,613,71.5,2.76,2.76,Matches
