Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,24,12,1,13,28,11,0,2,0,256,88,23,79.3,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,1,0,0,17,18,3,9,13,23,0,0,0,137,14,11,56,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,2,0,1,17,7,0,1,0,75,15,14,51.7,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0,0,15,6,0,5,11,9,0,0,0,82,20,17,54.1,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,26,43,0,22,36,22,0,0,0,214,11,13,45.8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,0,0,0,0,0,8,1,1,50,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,9,0,0,41,19,1,31,56,28,0,1,0,219,72,19,79.1,Matches
78,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,1,0,0,7,9,1,15,2,5,0,0,0,50,21,18,53.8,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,23,8,0,12,19,15,0,1,0,132,20,17,54.1,Matches
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,39,3,113,14,13,1,0,0,198,7,21,25,Matches
81,Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,1,3,0,0,0,8,3,0,100,Matches
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,16,5,8,14,4,6,0,0,0,33,4,9,30.8,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,63,60,0,23,31,42,1,0,0,356,24,41,36.9,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,3,0,0,17,3,0,1,10,10,0,1,0,170,56,25,69.1,Matches
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,3,1,0,0,0,19,1,2,33.3,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1,0,0,17,23,2,36,21,30,0,0,0,135,4,24,14.3,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,61,40,21,31,4,11,0,0,0,123,229,215,51.6,Matches
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,0,1,0,2,3,0,0,0,2,0,0,0,7,2,3,40,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6,0,0,55,37,0,11,61,63,0,0,0,323,70,49,58.8,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,66,38,0,39,43,46,2,0,0,401,51,36,58.6,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,19,26,0,3,5,16,0,0,0,127,5,14,26.3,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0,0,0,16,8,3,4,2,1,0,0,0,31,21,43,32.8,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,0,0,0,0,1,0,0,0,0,70,0,0,,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,13,0,144,34,31,0,1,0,313,47,27,63.5,Matches
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,12,16,3,79,19,8,0,0,0,118,10,16,38.5,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,2,0,42,9,5,0,0,0,49,8,8,50,Matches
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2,0,0,9,12,1,22,9,5,0,0,0,73,9,4,69.2,Matches
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,9,0,0,28,30,4,142,15,27,0,0,0,154,14,16,46.7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,3,0,0,40,35,12,49,9,10,0,0,0,95,76,116,39.6,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,1,0,0,18,7,1,36,18,16,0,0,0,72,10,8,55.6,Matches
