Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jesse Lingard,eng ENG,"MF,FW",26,21,0.19,2.67,0.67,25,2.67,0.67,0.07,0.29,0,0,0,0.2,0.2,0.11,-0.06,-0.06,Matches
Bruno Fernandes,pt POR,MF,24,17.9,0.56,3.46,1.17,33.9,3.46,1.17,0.06,0.19,0.5,0.34,0.34,0.4,0.19,0.08,0.1,0.03,Matches
Sergio Romero,ar ARG,GK,32,16.7,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Paul Pogba,fr FRA,MF,26,15.9,0.06,1.82,0.57,31,1.82,0.57,0.03,0.11,0.13,0,0.06,0.12,0.07,0.06,-0.06,-0.01,Matches
Ashley Young,eng ENG,DF,34,14.6,0.07,0.41,0.07,16.7,0.41,0.07,0.17,1,0.07,0,0,0.02,0.02,0.05,0.05,0.05,Matches
Marcos Rojo,ar ARG,DF,29,7.5,0,1.47,0.13,9.1,1.46,0.13,0,0,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
Eric Bailly,ci CIV,DF,25,7.2,0,0.42,0,0,0.42,0,0,,0,0,0,0.01,0.01,0.07,-0.01,-0.01,Matches
Axel Tuanzebe,eng ENG,DF,21,7.1,0,0.14,0,0,0.14,0,0,,0,0,0,0,0,,0,0,Matches
Odion Ighalo,ng NGA,FW,30,6.8,0.74,3.53,1.91,54.2,3.54,1.91,0.21,0.38,0,0,0,0.53,0.53,0.21,-0.24,-0.24,Matches
Diogo Dalot,pt POR,DF,20,6.4,0.16,1.56,0.31,20,1.56,0.31,0.1,0.5,0,0,0,0.06,0.06,0.14,-0.06,-0.06,Matches
Phil Jones,eng ENG,DF,27,6.3,0.16,0.48,0.32,66.7,0.48,0.32,0.33,0.5,0,0,0,0.03,0.03,0.08,-0.03,-0.03,Matches
Tahith Chong,nl NED,FW,19,5.2,0,1.35,0.19,14.3,1.34,0.19,0,0,0,0,0,0.17,0.17,0.23,-0.17,-0.17,Matches
James Garner,eng ENG,MF,18,3.5,0,0.57,0,0,0.57,0,0,,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
Angel Gomes,eng ENG,"FW,MF",18,3.3,0,1.82,0.3,16.7,1.84,0.31,0,0,0.61,0,0,0.15,0.15,0.08,-0.15,-0.15,Matches
Timothy Fosu-Mensah,nl NED,DF,21,2.6,0,0.77,0,0,0.78,0,0,,0,0,0,0.08,0.08,0.08,-0.08,-0.08,Matches
Ethan Laird,eng ENG,DF,18,1.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Dylan Levitt,wal WAL,MF,18,1,0,2,0,0,2,0,0,,0,0,0,0,0,0.02,0,0,Matches
Lee Grant,eng ENG,GK,36,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Di'Shon Bernard,eng ENG,DF,18,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
D'Mani Bughail-Mellor,eng ENG,FW,18,0.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Largie Ramazani,be BEL,MF,18,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Teden Mengi,eng ENG,DF,17,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Ethan Galbraith,nir NIR,FW,18,0,0,0,0,,0,0,,,,,,,,,,,
